이름,테마,텍스트
성산 일출봉,1,"푸른 바다 사이에 우뚝 솟은 성채와 같은 모양, 봉우리 정상에 있는 거대한 사발 모양의 분화구, 그리고 그 위에서 맞이하는 일출의 장관 때문에 성산일출봉은 많은 사람들의 감흥과 탄성을 자아낸다. 성산일출봉과 어우러진 경치는 아름답고 장관이다."
사려니숲길,1,"사려니숲길은 제주의 숨은 비경 31곳 중 하나로, 비자림로를 시작으로 물찻오름과 사려니 오름을 거쳐가는 삼나무가 우거진 숲길이다.
사려니오름까지 이어지는 숲길이기 때문에 사려니숲길이라고 불린다.
‘사려니’는 ‘신성한 숲’ 혹은 ‘실 따위를 흩어지지 않게 동그랗게 포개어 감다’라는 뜻으로 숲길을 거닐면 상쾌한 삼나무 향에 포개진 듯한 느낌을 받을 수 있다."
협재 해수욕장,1,투명한 물에 에메랄드빛 물감을 서서히 풀어놓은 듯한 바다빛은 보는 것만으로도 힐링이 된다. 썰물 때면 조개껍질이 많이 섞인 은모래빛 백사장이 끝없이 이어진다.바다 앞에는 어린 왕자 속 보아뱀을 삼킨 코끼리 그림 모양의 ‘비양도’가 있다. 비양도와 바다 위로 떨어지는 석양은 이곳에서 놓칠 수 없는 또 하나의 장관이다. 여름에는 야간개장도 하니 야자나무 아래에서 제주도 푸른 밤을 만끽할 수 있다.
월정리 해변,1,"아름다운 에메랄드빛 바다가 한 폭의 그림처럼 펼쳐져 있고, 그 위에는 밝은 달이 비친다. 풍경화처럼 아름다운 월정리 해변을 방문한 여행객들은 저마다 다양한 방법으로 해변의 경치를 만끽한다. 특히 수심이 얕은 편이기 때문에 아이를 동반한 가족들이 물놀이를 즐기기 좋다.
월정리의 아름다운 풍광이 여행객들 사이에서 점점 유명해질수록 월정리의 해변을 방문하는 사람들이 더욱 늘어났고, 그에 맞춰 다양한 식당과 카페, 숙박시설 등이 많이 들어서 있다."
함덕 해수욕장 ,1,"입구부터 환영해주는 키 큰 야자수들, 하얀 모래와 대조를 이루는 에메랄드빛 바다,  모래와 미역마저 투명하게 비춰주는 맑은 물과 하얀 파도가 그러하다.
제주도 수많은 해수욕장 중에서도, 바다색이 가장 예쁜 3곳을 꼽는다면 단연 협재, 김녕, 그리고 함덕해수욕장이다. 물이 맑고 수심이 얕아서 가족단위 피서지로도 좋다. 해수욕장 서쪽은 구름다리로 연결되어 있어 바다 위를 걷는 듯한 경험을 할 수 있다. 피크닉 하기 좋은 잔디밭, 밤에도 안심하고 바다를 즐길 수 있는 산책로가 매력이어서 사계절 찾는 이들의 발길이 끊이지 않는다. 특히 여름에는 야간개장도 하고 있어 제주의 푸른 밤을 바다에서 즐길 수 있다. "
산굼부리,1,"천연기념물 분화구이다. 이곳은 다양한 희귀식물들이 한 공간에 존재하는 '분화구 식물원'이기도 하다. 가파르지 않은 길을 쭉 올라가다 보면 금세 정상에 닿게 되는데, 정상에 비치되어 있는 망원경으로 주변의 성산일출봉과 오름들을 비롯한 다양한 경관을 좀 더 자세하게 눈에 담을 수 있다.가을의 산굼부리에는 바람을 맞으며 억새밭에 서서 제주의 가을을 만끽하는 사람들로 붐빈다. 가득 피어난 억새가 이루는 은빛 물결이 푸른 하늘과 어우러지며 멋진 경관을 연출해낸다. 그러나 가을뿐만 아니라 모든 계절마다 각자의 계절을 맞은 다양한 식물들이 피어나며 사계절 내내 새로운 풍경이 펼쳐지기 때문에, 사계절 중 어느 계절에 방문하든 멋진 경관이 눈앞에 펼쳐질 것이다."
섭지코지,1,"제주 동부해안에 볼록 튀어나온 섭지코지는 성산 일출봉을 배경으로한 해안풍경이 일품이다.들머리의 신양해변백사장, 끝머리 언덕위 평원에 드리워진 유채밭, 여유롭게 풀을 뜯는 제주조랑말들, 바위로 둘러친 해안절벽과 우뚝 치솟은 전설어린 선바위 등은 전형적인 제주의 아름다움을 만날 수 있다."
한라산국립공원,1,"다양한 식생 분포를 이뤄 학술적 가치가 매우 높고 동식물의 보고로서, 1966년 11월 12일 천연기념물 제182호인 한라산천연보호구역으로 지정보호되고 있다. 1971년 3월 24일 국립공원으로 지정되었고, 2112년 12월에는 UNESCO 생물권 보전지역으로 지정되었다. 한라산 정상에 올라가면 사람들의 멋진 장관을 볼 수 있다."
비자림,1,숲길이 아주잘되어 있습니다. 산림욕하기 좋습니다. 깨끗한 공기를 마실 수 있는 비자림.
천지연폭포 ,1,폭포 아래 사진 명당이 있다. 폭포 가는 길이 공기도 좋고 물소리도 들려서 좋다. 산책로를 따라 걷다가 큰 폭포를 만날 수 있다. 나무 향기가 좋다.
